text,label
Says the Annies List political group supports third-trimester abortions on demand.,FAKE
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,REAL
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",REAL
Health care reform legislation is likely to mandate free sex change surgeries.,FAKE
The economic turnaround started at the end of my term.,REAL
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,REAL
Jim Dunnam has not lived in the district he represents for years now.,FAKE
"""I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.""",REAL
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",REAL
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,REAL
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",REAL
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",REAL
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",FAKE
The economy bled $24 billion due to the government shutdown.,REAL
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,FAKE
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",REAL
"""McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' """,REAL
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",FAKE
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",REAL
"Almost 100,000 people left Puerto Rico last year.",REAL
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,FAKE
The United States has the highest corporate tax rate in the free world.,REAL
We just had the best year for the auto industry in America in history.,REAL
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",REAL
Says Mitt Romney wants to get rid of Planned Parenthood.,FAKE
I dont know who (Jonathan Gruber) is.,FAKE
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,REAL
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,REAL
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",FAKE
Youth unemployment in minority communities is about 40 to 45 percent.,REAL
Says Paul Ryan is still endorsing Trump.,REAL
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",FAKE
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,FAKE
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,REAL
Says Mark Pryor votes with Obama 93 percent of the time.,REAL
We have a federal government that thinks they have the authority to regulate our toilet seats.,REAL
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,REAL
